ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Low stock amount,Backorders allowed?,Sold individually?,Weight (kg),Length (cm),Width (cm),Height (cm),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Variation Swatches,Attributes Swatches,Brands
1970,external,SB-PRIME-VIDEO-6-MONT-1970,,Prime Video 6 Months (5 Device),1,0,visible,Pro plan<br>Subscription access as per plan<br>Stream on supported devices<br>Digital access details after checkout,"<p><strong>Prime Video 6 Months (5 Device)</strong> — <strong>Pro plan</strong></p>
<p>Ready to elevate your streaming experience with the best selection of movies and TV shows? Look no further than our Prime Video 4K UHD plan! For an affordable price, you can enjoy access to Prime Video on 2 screens at once, in stunning 4K Ultra HD quality.</p>
<ul><li>Subscription access as per plan</li><li>Stream on supported devices</li><li>Access details shared after purchase</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,350,999,"Indian OTT, Digital Products, OTT Subscriptions","digital, ott, prime",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Website-Poster-15-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1971,external,SB-HBO-MAX-1-YEAR-1971,,HBO Max 1 Year,1,0,visible,1-year plan<br>Subscription access as per plan<br>Stream on supported devices<br>Digital access details after checkout,"<p><strong>HBO Max 1 Year</strong> — <strong>1-year plan</strong></p>
<p>Looking for the ultimate streaming experience with the best selection of movies and TV shows? HBO Max is the answer! With our HBO Max plan, you can enjoy access to the latest and greatest movies and TV shows in stunning 4K Ultra HD quality on 2 screens at once.</p>
<ul><li>Subscription access as per plan</li><li>Stream on supported devices</li><li>Access details shared after purchase</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,899,899,"International OTT, Digital Products, OTT Subscriptions","digital, ott, annual",,https://dreamstarsolution.com/wp-content/uploads/2025/04/79-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1972,external,SB-CANVA-PRO-1-YEAR-1972,,Canva Pro 1 Year,1,0,visible,1-year plan<br>Reliable access for cloud/storage needs<br>Simple setup for everyday use<br>Digital access details after checkout,"<p><strong>Canva Pro 1 Year</strong> — <strong>1-year plan</strong></p>
<p>Canva: Pro Plan – 1 Year of Unlimited Design PossibilitiesCanva is a powerful design platform that helps you create stunning visuals with ease. Whether you're designing for social media, presentations, marketing, or personal projects, Canva's Pro Plan offers all the tools you need to produce professional-quality designs in minutes. With the 1-year subscripti</p>
<ul><li>Simple setup and daily usage</li><li>Designed for reliable access</li><li>Helpful for storage/hosting workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,650,1999,"Cloud Services, Digital Products","digital, cloud, annual, canva",,https://dreamstarsolution.com/wp-content/uploads/2025/04/93-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1973,external,SB-ENVATO-ELEMENTS-1--1973,,Envato Elements 1 Year,1,0,visible,1-year plan<br>Reliable access for cloud/storage needs<br>Simple setup for everyday use<br>Digital access details after checkout,"<p><strong>Envato Elements 1 Year</strong> — <strong>1-year plan</strong></p>
<p>Envato Elements: 1 Year Plan – Unlimited Creative Assets for Every ProjectEnvato Elements is a comprehensive resource for creators, offering unlimited downloads of premium assets including templates, graphics, videos, music, and more. Ideal for designers, marketers, and businesses, Envato Elements gives you access to a vast library of high-quality digital as</p>
<ul><li>Simple setup and daily usage</li><li>Designed for reliable access</li><li>Helpful for storage/hosting workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,2499,14000,"Cloud Services, Digital Products","digital, cloud, annual, envato",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Website-Poster-14-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1974,external,SB-FREEPIK-PREMIUM-1--1974,,Freepik Premium 1 Year,1,0,visible,1-year plan<br>Reliable access for cloud/storage needs<br>Simple setup for everyday use<br>Digital access details after checkout,"<p><strong>Freepik Premium 1 Year</strong> — <strong>1-year plan</strong></p>
<p>Freepik: Premium Plan – 1 Year of Unlimited Creative ResourcesFreepik offers an extensive collection of high-quality graphics, vectors, photos, and PSD files, perfect for designers, marketers, and content creators. With the Premium Plan, you get access to a vast library of resources that can enhance any project, making it easier to create professional-qualit</p>
<ul><li>Simple setup and daily usage</li><li>Designed for reliable access</li><li>Helpful for storage/hosting workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,2499,4999,"Cloud Services, Digital Products","digital, cloud, annual, freepik",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Website-Poster-3-1.png,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1975,external,SB-NICHESSS-LIFETIME-1975,,Nichesss Lifetime,1,0,visible,"Lifetime access<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Nichesss Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>Nichesss: Your AI-Powered Content Creation Tool with Lifetime Pro PlanNichesss is an AI content creation tool designed to help you generate high-quality content across various platforms with ease. Whether you need blog posts, social media content, or marketing copy, Nichesss provides you with the tools to create engaging content quickly. With the Pro Plan, y</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,700,1999,"AI Tools, Digital Products, AI Writing Tools","digital, ai, writing, lifetime, nichesss",,https://dreamstarsolution.com/wp-content/uploads/2025/04/49-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1976,external,SB-TEXTA-AI-LIFETIME-1976,,Texta AI Lifetime,1,0,visible,"Lifetime access<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Texta AI Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>Texta AI: The Ultimate AI-Powered Content Creation Tool with Lifetime Unlimited AccessTexta AI is your go-to content creation tool powered by advanced AI to help you generate high-quality, engaging content for blogs, ads, social media, and more. With the Pro Plus Max Plan, enjoy unlimited content creation for a lifetime at an unbeatable price, perfect for bl</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,700,1999,"AI Tools, Digital Products, AI Writing Tools","digital, ai, writing, lifetime, texta",,https://dreamstarsolution.com/wp-content/uploads/2025/04/48-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1977,external,SB-OFFEO-PREMIUM-AI-V-1977,,OFFEO Premium AI Video Ad Creator,1,0,visible,Lifetime access<br>Speed up video creation and editing tasks<br>Export-ready assets for social platforms<br>Digital access details after checkout,"<p><strong>OFFEO Premium AI Video Ad Creator</strong> — <strong>Lifetime access</strong></p>
<p>Offeo: Lifetime Plan – The Ultimate Online Video Creation ToolOffeo is a powerful and easy-to-use online video creation tool designed to help creators, marketers, and businesses produce high-quality videos quickly. With a wide range of customizable templates, design elements, and an intuitive interface, Offeo makes it simple to create engaging content for so</p>
<ul><li>Speed up video creation tasks</li><li>Tools for captions/subtitles and exports</li><li>Suitable for short-form content workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,1099,1999,"Video Editing, Digital Products, Video Tools","digital, ai, video, lifetime, offeo",,https://dreamstarsolution.com/wp-content/uploads/2025/04/156-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1978,external,SB-USEARTEMIS-SCALE-P-1978,,useArtemis Scale Plan,1,0,visible,1-year plan<br>Streamline lead generation workflows<br>Helpful for outreach and prospecting<br>Digital access details after checkout,"<p><strong>useArtemis Scale Plan</strong> — <strong>1-year plan</strong></p>
<p>Artemis: Scale Plan – 1 Year of Powerful Lead GenerationArtemis is an AI-powered platform designed to help businesses find high-quality leads quickly and efficiently. The Scale Plan provides advanced tools to discover and connect with potential clients, including detailed company information and LinkedIn profile extraction. Whether you are a marketer, sales</p>
<ul><li>Support prospecting and outreach workflows</li><li>Organize leads and follow-ups</li><li>Save time on repetitive tasks</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,999,1999,"Lead Generation, Digital Products, Lead Generation Tools","digital, lead, annual, useartemis",,https://dreamstarsolution.com/wp-content/uploads/2025/04/153-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1979,external,SB-SUPERMACHINE-LIFET-1979,,SUPERMACHINE Lifetime,1,0,visible,Lifetime access<br>Reliable access for cloud/storage needs<br>Simple setup for everyday use<br>Digital access details after checkout,"<p><strong>SUPERMACHINE Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>Supermachine: Lifetime Access – AI-Powered Art Creation ToolSupermachine is an advanced AI-driven art creation platform that allows users to generate stunning visuals and artwork in seconds. Whether you're a designer, marketer, or content creator, Supermachine provides you with the tools to create unique digital art effortlessly. Key Features of Supermachine</p>
<ul><li>Simple setup and daily usage</li><li>Designed for reliable access</li><li>Helpful for storage/hosting workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,999,1999,"AI Tools, Cloud Services, Digital Products","digital, cloud, lifetime, supermachine",,https://dreamstarsolution.com/wp-content/uploads/2025/04/125-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1980,external,SB-CHATGPT-PLUS-WITH--1980,,ChatGPT Plus With GPT 4o,1,0,visible,Monthly plan<br>Reliable access for cloud/storage needs<br>Simple setup for everyday use<br>Digital access details after checkout,"<p><strong>ChatGPT Plus With GPT 4o</strong> — <strong>Monthly plan</strong></p>
<p>ChatGPT: The Ultimate AI Assistant for All Your Needs – Monthly PlanChatGPT is your intelligent AI assistant designed to help you with everything from writing, brainstorming, coding, and beyond. Whether you’re a student, professional, or content creator, ChatGPT simplifies complex tasks and boosts productivity with seamless conversational AI. With its monthl</p>
<ul><li>Simple setup and daily usage</li><li>Designed for reliable access</li><li>Helpful for storage/hosting workflows</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,699,1800,"AI Tools, Cloud Services, Digital Products","digital, cloud, chatgpt",,https://dreamstarsolution.com/wp-content/uploads/2025/04/32-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1981,external,SB-LEADS-GORILLA-2-0--1981,,Leads Gorilla 2.0 Lifetime,1,0,visible,Lifetime access<br>Support keyword and SEO workflows<br>Designed to save time on research & content tasks<br>Digital access details after checkout,"<p><strong>Leads Gorilla 2.0 Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>LeadsGorilla: Lifetime Access – Powerful Local Business Lead GenerationLeadsGorilla is a comprehensive tool designed to help marketers and businesses quickly find and manage high-quality local business leads. With its advanced lead search and outreach capabilities, LeadsGorilla makes lead generation efficient and straightforward, perfect for expanding your b</p>
<ul><li>Support keyword research and planning</li><li>Organize SEO tasks in one workflow</li><li>Export/report-friendly outputs</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,650,1999,"AI Tools, Lead Generation, SEO, Digital Products, SEO Tools","digital, ai, seo, lifetime, leads",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Leads-Gorilla-2.0-AI-Powered-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1982,external,SB-NETFLIX-4K-UHD-3-M-1982,,Netflix 4K UHD 3 Months (TV Plan),1,0,visible,Plan<br>Subscription access as per plan<br>Stream on supported devices<br>Digital access details after checkout,"<p><strong>Netflix 4K UHD 3 Months (TV Plan)</strong> — <strong>Plan</strong></p>
<p>Enjoy Netflix on All Kinds of TVs! Get a 3-month 4K UHD Netflix plan for just Rs. 450!</p>
<ul><li>Subscription access as per plan</li><li>Stream on supported devices</li><li>Access details shared after purchase</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,450,799,"Indian OTT, International OTT, Digital Products, OTT Subscriptions","digital, ott, netflix",,https://dreamstarsolution.com/wp-content/uploads/2025/04/56-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1983,external,SB-DESIGNRR-LIFETIME-1983,,Designrr Lifetime,1,0,visible,"Lifetime access<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Designrr Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>Designrr: Standard Lifetime Plan – Your Ultimate eBook and Content Creation ToolDesignrr is a versatile content creation tool that allows you to quickly transform your blog posts, articles, or any other web content into beautiful eBooks, PDFs, and reports. With the Standard Lifetime Plan, you get unlimited access to powerful features that make content creati</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,500,799,"Software, Writing Tools, Digital Products, AI Writing Tools","digital, ai, writing, lifetime, designrr",,https://dreamstarsolution.com/wp-content/uploads/2025/04/Website-Poster-13-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1984,external,SB-WRITERZEN-LIFETIME-1984,,Writerzen Lifetime,1,0,visible,Lifetime access<br>Support keyword and SEO workflows<br>Designed to save time on research & content tasks<br>Digital access details after checkout,"<p><strong>Writerzen Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>WriterZen: Comprehensive AI-Powered SEO and Content Creation ToolWriterZen is your all-in-one content creation and SEO optimization platform, designed to help you streamline your writing, keyword research, and SEO efforts. Whether you're a content creator, blogger, or marketer, WriterZen offers a powerful set of tools to elevate your content strategy and imp</p>
<ul><li>Support keyword research and planning</li><li>Organize SEO tasks in one workflow</li><li>Export/report-friendly outputs</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,999,1999,"AI Tools, SEO, Digital Products, SEO Tools","digital, ai, seo, lifetime, writerzen",,https://dreamstarsolution.com/wp-content/uploads/2025/04/140-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1985,external,SB-KEYWORD-SEARCH-YOU-1985,,Keyword Search YouTube Seo Lifetime,1,0,visible,Lifetime access<br>Support keyword and SEO workflows<br>Designed to save time on research & content tasks<br>Digital access details after checkout,"<p><strong>Keyword Search YouTube Seo Lifetime</strong> — <strong>Lifetime access</strong></p>
<p>KeywordSearch: Lifetime Access – Ultimate YouTube Keyword Research ToolKeywordSearch is a powerful tool designed specifically to help creators, marketers, and businesses optimize their YouTube content by finding the best keywords to target. With its advanced search capabilities and lifetime access, you can continuously improve your YouTube SEO and boost vide</p>
<ul><li>Support keyword research and planning</li><li>Organize SEO tasks in one workflow</li><li>Export/report-friendly outputs</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,1099,1999,"SEO, Digital Products, SEO Tools","digital, ai, seo, lifetime, keyword",,https://dreamstarsolution.com/wp-content/uploads/2025/04/137-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
1986,external,SB-REF-N-WRITE-LIFETI-1986,,Ref-N-Write Lifetime License,1,0,visible,"Lifetime access<br>Write and edit content faster<br>Useful for blogs, ads, and emails<br>Digital access details after checkout","<p><strong>Ref-N-Write Lifetime License</strong> — <strong>Lifetime access</strong></p>
<p>Ref-N-Write: The Ultimate Writing and Editing Tool with Lifetime AccessRef-N-Write is a powerful AI-powered writing tool designed to improve your writing efficiency, whether you're working on academic papers, professional reports, or creative content. With Ref-N-Write, you can streamline your research, ensure consistency in tone, and enhance the overall qual</p>
<ul><li>Faster drafting and editing workflow</li><li>Templates for common writing tasks</li><li>Useful for blogs, ads, emails, and more</li></ul>
<p><strong>Note:</strong> Digital access details are provided after checkout.</p>",,,taxable,,1,,,0,0,,,,,0,,299,799,"AI Tools, Writing Tools, Digital Products, AI Writing Tools","digital, ai, writing, lifetime, refnwrite",,https://dreamstarsolution.com/wp-content/uploads/2025/04/50-1.jpg,,,,,,,https://cosmofeed.com/vp/64297b5ed83e0200209d5a3c,Buy Now,0,,,
